CustomerNumber,AccountName,Address,ItemID,Description,Quantity,DeliveryFrequency,DeliveryDay,Price,RouteNumber
297833,Balance Yoga Center,2821 Bechelli Ln.,70623600,Dust Mop-36 Untreate,1,Weekly,4,,33
297833,Balance Yoga Center,2821 Bechelli Ln.,11601837,TOWEL-FACE,700,Weekly,4,,33
284916,Boba Tea and Coffee,2999 Churn Creek Rd,,,,,,,33
319797,Chic Salon,2948 Churn Creek Road,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,4,,33
319797,Chic Salon,2948 Churn Creek Road,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,4,,33
319797,Chic Salon,2948 Churn Creek Road,70701800,"MICRO F MOP-18""",2,Weekly,4,,33
319797,Chic Salon,2948 Churn Creek Road,41669525,TWL- BEAUTY STM-BLK,315,Weekly,4,,33
322720,Chick-fil-A at I-5 & Bonnyview,4086 South Bonnyview Road,76080304,MAT-NY/RB-OX GRY-3X4,3,Weekly,4,,33
322720,Chick-fil-A at I-5 & Bonnyview,4086 South Bonnyview Road,11281619,TOWEL-BARMOP-BLSTR,100,Weekly,4,,33
255920,FTH - Churncreek,2650 Churn Creek Rd,1640000,APRON-BIB-POLY-BLACK,80,Weekly,4,,33
255920,FTH - Churncreek,2650 Churn Creek Rd,76080304,MAT-NY/RB-OX GRY-3X4,4,Weekly,4,,33
255920,FTH - Churncreek,2650 Churn Creek Rd,76080406,MAT-NY/RB-OX GRY-4X6,3,Weekly,4,,33
255920,FTH - Churncreek,2650 Churn Creek Rd,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,4,,33
255920,FTH - Churncreek,2650 Churn Creek Rd,87399023,MOP-WET-TUBE-MF-BL-L,24,Weekly,4,,33
255920,FTH - Churncreek,2650 Churn Creek Rd,11281619,TOWEL-BARMOP-BLSTR,300,Weekly,4,,33
255921,FTH - Churncreek - D/S,2650 Churn Creek Rd,,,,,,,33
311566,Fat Daddy's BBQ,942 Hartnell Avenue,76080406,MAT-NY/RB-OX GRY-4X6,2,Weekly,4,,33
311566,Fat Daddy's BBQ,942 Hartnell Avenue,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,4,,33
311566,Fat Daddy's BBQ,942 Hartnell Avenue,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,4,,33
311566,Fat Daddy's BBQ,942 Hartnell Avenue,11281619,TOWEL-BARMOP-BLSTR,125,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97739900,Apron-In&Out     Cog,77,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97739900,Apron-In&Out     Cog,66,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97680000,Blouse           Cog,77,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97680000,Blouse           Cog,44,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97680000,Blouse           Cog,69,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,87392121,MOP-WET-MF-FL-RD-24I,6,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,87392121,MOP-WET-MF-FL-RD-24I,7,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97220000,Shirts           Cog,46,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97220000,Shirts           Cog,47,Weekly,4,,33
298364,In-N-Out Burger # 348,4681 Churn Creek Rd,97220000,Shirts           Cog,66,Weekly,4,,33
295680,It's Jerky,3094 Crossroads Dr.,97210406,Logo Mat         Cog,1,Weekly,4,,33
295680,It's Jerky,3094 Crossroads Dr.,76080304,MAT-NY/RB-OX GRY-3X4,1,Weekly,4,,33
295680,It's Jerky,3094 Crossroads Dr.,76080310,MAT-NY/RB-OX GRY3X10,1,Weekly,4,,33
295680,It's Jerky,3094 Crossroads Dr.,76280406,MAT-OXF GRY-MHL-4X6,1,Weekly,4,,33
295680,It's Jerky,3094 Crossroads Dr.,87399023,MOP-WET-TUBE-MF-BL-L,2,Weekly,4,,33
295680,It's Jerky,3094 Crossroads Dr.,11281619,TOWEL-BARMOP-BLSTR,100,Weekly,4,,33
294790,Las Maria's,2640 Bechelli Lane,1500000,APRON-BIB-SPUN-WHITE,20,Weekly,4,,33
294790,Las Maria's,2640 Bechelli Lane,11100000,GRILL-PAD,5,Weekly,4,,33
294790,Las Maria's,2640 Bechelli Lane,11720000,Towel-Kitchen,50,Weekly,4,,33
315654,Los Gordos,5200 Churn Creek Road Suite L,1900000,APRON-BIB-POLY-RED,40,Weekly,4,,33
315654,Los Gordos,5200 Churn Creek Road Suite L,11100000,GRILL-PAD,25,Weekly,4,,33
315654,Los Gordos,5200 Churn Creek Road Suite L,76080304,MAT-NY/RB-OX GRY-3X4,2,Weekly,4,,33
315654,Los Gordos,5200 Churn Creek Road Suite L,76080406,MAT-NY/RB-OX GRY-4X6,1,Weekly,4,,33
